date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,new_death,pnew_death
01/22/2020,Colorado,0,,,0,,0,0,
01/23/2020,Colorado,0,,,0,,0,0,
01/24/2020,Colorado,0,,,0,,0,0,
01/25/2020,Colorado,0,,,0,,0,0,
01/26/2020,Colorado,0,,,0,,0,0,
01/27/2020,Colorado,0,,,0,,0,0,
01/28/2020,Colorado,0,,,0,,0,0,
01/29/2020,Colorado,0,,,0,,0,0,
01/30/2020,Colorado,0,,,0,,0,0,
01/31/2020,Colorado,0,,,0,,0,0,
02/01/2020,Colorado,0,,,0,,0,0,
02/02/2020,Colorado,0,,,0,,0,0,
02/03/2020,Colorado,0,,,0,,0,0,
02/04/2020,Colorado,0,,,0,,0,0,
02/05/2020,Colorado,0,,,0,,0,0,
02/06/2020,Colorado,0,,,0,,0,0,
02/07/2020,Colorado,0,,,0,,0,0,
02/08/2020,Colorado,0,,,0,,0,0,
02/09/2020,Colorado,0,,,0,,0,0,
02/10/2020,Colorado,0,,,0,,0,0,
02/11/2020,Colorado,0,,,0,,0,0,
02/12/2020,Colorado,0,,,0,,0,0,
02/13/2020,Colorado,0,,,0,,0,0,
02/14/2020,Colorado,0,,,0,,0,0,
02/15/2020,Colorado,0,,,0,,0,0,
02/16/2020,Colorado,0,,,0,,0,0,
02/17/2020,Colorado,0,,,0,,0,0,
02/18/2020,Colorado,0,,,0,,0,0,
02/19/2020,Colorado,0,,,0,,0,0,
02/20/2020,Colorado,0,,,0,,0,0,
02/21/2020,Colorado,0,,,0,,0,0,
02/22/2020,Colorado,0,,,0,,0,0,
02/23/2020,Colorado,0,,,0,,0,0,
02/24/2020,Colorado,0,,,0,,0,0,
02/25/2020,Colorado,0,,,0,,0,0,
02/26/2020,Colorado,0,,,0,,0,0,
02/27/2020,Colorado,0,,,0,,0,0,
02/28/2020,Colorado,0,,,0,,0,0,
02/29/2020,Colorado,0,,,0,,0,0,
03/01/2020,Colorado,0,,,0,,0,0,
03/02/2020,Colorado,0,,,0,,0,0,
03/03/2020,Colorado,0,,,0,,0,0,
03/04/2020,Colorado,0,,,0,,0,0,
03/05/2020,Colorado,1,,,1,,0,0,
03/06/2020,Colorado,2,,,1,,0,0,
03/07/2020,Colorado,8,,,6,,0,0,
03/08/2020,Colorado,8,,,0,,0,0,
03/09/2020,Colorado,12,,,4,,0,0,
03/10/2020,Colorado,17,,,5,,0,0,
03/11/2020,Colorado,34,,,17,,0,0,
03/12/2020,Colorado,49,,,15,,0,0,
03/13/2020,Colorado,49,,,0,,0,0,
03/14/2020,Colorado,49,,,0,,0,0,
03/15/2020,Colorado,144,,,95,,1,1,
03/16/2020,Colorado,160,,,16,,1,0,
03/17/2020,Colorado,183,,,23,,2,1,
03/18/2020,Colorado,216,,,33,,2,0,
03/19/2020,Colorado,277,,,61,,2,0,
03/20/2020,Colorado,363,,,86,,4,2,
03/21/2020,Colorado,475,,,112,,5,1,
03/22/2020,Colorado,591,,,116,,6,1,
03/23/2020,Colorado,720,,,129,,7,1,
03/24/2020,Colorado,921,,,201,,11,4,
03/25/2020,Colorado,1086,,,165,,19,8,
03/26/2020,Colorado,1430,,,344,,24,5,
03/27/2020,Colorado,1734,,,304,,31,7,
03/28/2020,Colorado,2061,,,327,,44,13,
03/29/2020,Colorado,2307,,,246,,47,3,
03/30/2020,Colorado,2627,,,320,,51,4,
03/31/2020,Colorado,2966,,,339,,69,18,
04/01/2020,Colorado,3342,,,376,,80,11,
04/02/2020,Colorado,3728,,,386,,97,17,
04/03/2020,Colorado,4173,,,445,,111,14,
04/04/2020,Colorado,4565,,,392,,126,15,
04/05/2020,Colorado,4950,,,385,,140,14,
04/06/2020,Colorado,5172,,,222,,150,10,
04/07/2020,Colorado,5429,,,257,,179,29,
04/08/2020,Colorado,5655,,,226,,193,14,
04/09/2020,Colorado,6202,,,547,,226,33,
04/10/2020,Colorado,6365,,,163,,250,24,
04/11/2020,Colorado,6893,,,528,,274,24,
04/12/2020,Colorado,7303,,,410,,290,16,
04/13/2020,Colorado,7691,,,388,,308,18,
04/14/2020,Colorado,7941,,,250,,329,21,
04/15/2020,Colorado,8280,,,339,,357,28,
04/16/2020,Colorado,8582,7941,641,302,641,373,16,10
04/17/2020,Colorado,9047,,,465,,391,18,
04/18/2020,Colorado,9433,,,386,,411,20,
04/19/2020,Colorado,9634,8915,719,201,719,421,10,13
04/20/2020,Colorado,10019,9260,759,385,40,448,27,0
04/21/2020,Colorado,10368,9536,832,349,73,485,37,1
04/22/2020,Colorado,10825,9878,947,457,115,507,22,2
04/23/2020,Colorado,11182,10208,974,357,27,551,44,9
04/24/2020,Colorado,12184,10995,1189,1002,215,672,121,96
04/25/2020,Colorado,12868,11533,1335,684,146,670,-2,-15
04/26/2020,Colorado,13350,11980,1370,482,35,679,9,1
04/27/2020,Colorado,13798,12374,1424,448,54,706,27,4
04/28/2020,Colorado,14238,12741,1497,440,73,736,30,8
04/29/2020,Colorado,14675,13148,1527,437,30,766,30,5
04/30/2020,Colorado,15182,13637,1545,507,18,777,11,1
05/01/2020,Colorado,15668,14078,1590,486,45,820,43,2
05/02/2020,Colorado,16120,14498,1622,452,32,832,12,4
05/03/2020,Colorado,16534,14897,1637,414,15,842,10,6
05/04/2020,Colorado,16878,15169,1709,344,72,851,9,2
05/05/2020,Colorado,17317,15600,1717,439,8,903,52,2
05/06/2020,Colorado,17738,16012,1726,421,9,921,18,2
05/07/2020,Colorado,18318,16532,1786,580,60,944,23,1
05/08/2020,Colorado,18793,16969,1824,475,38,960,16,-1
05/09/2020,Colorado,19316,17491,1825,523,1,967,7,0
05/10/2020,Colorado,19632,17809,1823,316,-2,971,4,0
05/11/2020,Colorado,19735,17893,1842,103,19,986,15,1
05/12/2020,Colorado,20091,18211,1880,356,38,1006,20,7
05/13/2020,Colorado,20401,18461,1940,310,60,1059,53,27
05/14/2020,Colorado,20762,18804,1958,361,18,1090,31,6
05/15/2020,Colorado,21131,19151,1980,369,22,1150,60,22
05/16/2020,Colorado,21511,19507,2004,380,24,1192,42,23
05/17/2020,Colorado,21797,19773,2024,286,20,1215,23,20
05/18/2020,Colorado,22095,20028,2067,298,43,1224,9,0
05/19/2020,Colorado,22399,20304,2095,304,28,1257,33,7
05/20/2020,Colorado,22752,20595,2157,353,62,1299,42,17
05/21/2020,Colorado,23121,20903,2218,369,61,1309,10,0
05/22/2020,Colorado,23455,21202,2253,334,35,1323,14,2
05/23/2020,Colorado,23937,21657,2280,482,27,1327,4,0
05/24/2020,Colorado,24137,21857,2280,200,0,1330,3,0
05/25/2020,Colorado,24226,21941,2285,89,5,1331,1,0
05/26/2020,Colorado,24503,22208,2295,277,10,1350,19,0
